miRNA_ID	TCGA-VD-A8KB-01A	TCGA-WC-A881-01A	TCGA-V4-A9EK-01A	TCGA-YZ-A985-01A	TCGA-V3-A9ZY-01A	TCGA-WC-A882-01A	TCGA-V4-A9ED-01A	TCGA-WC-A87W-01A	TCGA-VD-A8KN-01A	TCGA-V4-A9EV-01A	TCGA-VD-AA8Q-01A	TCGA-V4-A9E8-01A	TCGA-WC-A884-01A	TCGA-V3-A9ZX-01A	TCGA-V4-A9EU-01A	TCGA-VD-A8KL-01A	TCGA-VD-A8KH-01A	TCGA-V4-A9EI-01A	TCGA-WC-A88A-01A	TCGA-V4-A9EH-01A	TCGA-V4-A9F1-01A	TCGA-VD-A8K8-01A	TCGA-VD-A8KM-01A	TCGA-V4-A9E5-01A	TCGA-WC-A880-01A	TCGA-VD-A8KE-01A	TCGA-VD-A8K7-01B	TCGA-V4-A9ET-01A	TCGA-VD-AA8N-01A	TCGA-WC-AA9E-01A	TCGA-V4-A9EM-01A	TCGA-VD-A8K9-01A	TCGA-VD-AA8O-01A	TCGA-V4-A9F3-01A	TCGA-WC-A885-01A	TCGA-VD-AA8M-01A	TCGA-YZ-A984-01A	TCGA-VD-AA8S-01B	TCGA-V4-A9EF-01A	TCGA-YZ-A983-01A	TCGA-V4-A9EJ-01A	TCGA-VD-A8KD-01A	TCGA-WC-A888-01A	TCGA-YZ-A982-01A	TCGA-VD-A8KK-01A	TCGA-V4-A9EW-01A	TCGA-VD-A8KO-01A	TCGA-V4-A9EC-01A	TCGA-V4-A9EQ-01A	TCGA-V4-A9F2-01A	TCGA-VD-AA8R-01A	TCGA-WC-A883-01A	TCGA-V4-A9F8-01A	TCGA-YZ-A980-01A	TCGA-VD-AA8P-01A	TCGA-VD-A8KJ-01A	TCGA-V4-A9EX-01A	TCGA-V4-A9EY-01A	TCGA-V4-A9F4-01A	TCGA-V4-A9EE-01A	TCGA-V4-A9EZ-01A	TCGA-VD-A8KA-01B	TCGA-VD-A8KF-01A	TCGA-VD-A8KG-01A	TCGA-V4-A9F5-01A	TCGA-VD-AA8T-01A	TCGA-WC-A87Y-01A	TCGA-V4-A9F0-01A	TCGA-V4-A9EL-01A	TCGA-V4-A9E7-01A	TCGA-V4-A9ES-01A	TCGA-VD-A8KI-01A	TCGA-V4-A9E9-01A	TCGA-WC-A87U-01A	TCGA-V4-A9EO-01A	TCGA-WC-A87T-01A	TCGA-WC-AA9A-01A	TCGA-V4-A9EA-01A	TCGA-RZ-AB0B-01A	TCGA-V4-A9F7-01A
hsa-let-7a-1	13.972945695623071	14.79679506953745	14.612819037038593	14.902624548763592	14.733718704861651	15.097114564282942	14.670909461474913	15.193683225367685	15.265247947650053	15.147010407929049	15.003919351544333	15.829984941616193	14.964363161293116	15.247926959307993	14.772151645249949	16.119181661609787	14.561099445304693	14.621256855900072	15.662306778513337	15.50538816334478	14.57067503007207	13.834141916994149	15.490308406585756	14.610184081873363	15.204093310130188	14.95525627231426	14.740139110801014	15.085703745470358	15.21722242106392	14.7880964479315	14.948095818764335	14.753995490902103	14.343814884949639	15.357966911829324	15.070146947310802	15.367783338747593	15.027541751842085	15.061357009436243	15.498117180044693	14.44075001002671	14.90296714953791	13.97521198060061	14.367592200696897	15.40276140929629	14.802047179045237	14.769879708548908	14.441797986542332	14.95092307990183	16.086184732426975	14.834223858053459	13.844283295633426	15.642634873439937	15.568971273760177	12.896961287536783	14.878455428962617	14.724930536388907	14.767245347513276	14.871018800640394	14.793950350346552	14.585952294173907	15.247806637474818	15.180417843000438	13.882752794315744	14.856758422055535	14.757677102115887	15.079033785222547	14.924696652268018	15.123175072598297	15.288218875572737	15.829129141703707	15.52030385547813	15.992411083275663	15.561352781708715	14.405525059496977	14.792159289430654	15.089140161009938	14.944062973014294	15.185744065546494	15.451510371324309	15.481673916907946
hsa-let-7a-2	13.969699599143897	14.790552068419588	14.598631763435003	14.908792342185498	14.730322454790244	15.097351019696168	14.669767090707746	15.185883008002124	15.259589923852321	15.147041943755466	15.00260709004192	15.824602207248287	14.950011770068587	15.254064855452054	14.77145825061014	16.123318480097286	14.549046275896462	14.611639402340245	15.656747150874258	15.500049438562375	14.573530102336159	13.829269097693377	15.489303132064961	14.607370220766626	15.19727439852874	14.949784544043457	14.744934954393383	15.07769646267686	15.212171705534047	14.779632687077383	14.948719098707569	14.755959441764047	14.339288617608124	15.35697581993993	15.069848827747037	15.363979927108996	15.021209217942525	15.060925451714953	15.496576011886862	14.44632932354398	14.901040016815127	13.96813215727409	14.372803819481941	15.41221757210113	14.795967577053434	14.766512347170146	14.433450774265888	14.94832281112547	16.08521154845799	14.827919086486363	13.843237870883529	15.64693753140951	15.562103600336323	12.902367087305471	14.876706299660952	14.730439590722895	14.763705647395172	14.861256228995632	14.797112714508547	14.582415791991405	15.2479757520481	15.17853370368529	13.868121727099838	14.861092866456312	14.766537875931059	15.07489462645035	14.922435879193262	15.118811963133489	15.28488029058433	15.830284809033248	15.516725262471208	15.98959166751853	15.564224319006216	14.407634885742041	14.791587558936497	15.085523207020453	14.932934228498315	15.187512293389432	15.448990537317103	15.481178809780836
hsa-let-7a-3	13.971871234917963	14.800015371643735	14.597011733111183	14.90775222090393	14.737379513764376	15.107951600520437	14.672447059970768	15.193926303894154	15.262491712361918	15.150659483836293	15.005160393538613	15.842652741627475	14.958020762271643	15.260789178528011	14.78226354970098	16.125084300206982	14.559269483297676	14.62703133098326	15.673047730500492	15.51066038534742	14.58863109637815	13.835790226635298	15.495300679693855	14.617761377236409	15.202882576394108	14.951270981382931	14.740817637106016	15.083848399878505	15.219446474702266	14.784047091274791	14.957912296686795	14.754582405652	14.348836913115592	15.367301358782873	15.070865688138957	15.366041780118211	15.033402939737417	15.06751124125281	15.501624378591973	14.455542857554532	14.907610930243345	13.975056249554859	14.379299212240635	15.410509702190618	14.801342276393962	14.765724676569569	14.433738313021585	14.944508149714618	16.085151554867508	14.830287963027335	13.847898191043189	15.651650633978257	15.570623886623556	12.911002684252846	14.880647200582592	14.72880683963797	14.780408980192705	14.864293561839496	14.79646371323199	14.589627427339035	15.242985046049688	15.173686723596846	13.886994480149925	14.86859136298376	14.762978305992625	15.075874250004368	14.931576607536886	15.132462027963962	15.293692859930049	15.82702853968513	15.518597675600427	15.997803521319168	15.564036636046875	14.411060291838153	14.785418658428878	15.084779096961794	14.94119863451652	15.196637760788905	15.45367739865561	15.48527434670826
hsa-let-7b	13.352459310445656	15.45145364953937	13.64075088837207	15.554014869348354	14.137916438190834	14.622037720384725	14.860235021325462	15.226656711208907	15.272160579093212	14.869500429905493	14.155514952186161	16.59980482120324	14.35857870069246	15.351129962761567	14.707397112124186	16.573371749600295	13.933414304351372	15.238062694105114	15.235979734508952	15.019285625905592	14.058497785563612	13.84900536724449	15.397386263673084	14.238654507943764	13.765304364387195	12.89239303420908	13.80666194986839	15.246947298136462	15.148068204031894	13.798063896551135	14.819094401796512	13.337365983352818	14.75839086330836	15.07432438221876	14.070968942266948	13.941505453601032	15.40377129030658	13.464286907956609	16.29916611573537	13.779112013351973	13.756283033938965	14.463804015653542	14.517368537383355	15.803157667897873	14.711575849859221	14.827983531961875	13.366149321477225	13.638725584339792	15.71524199363406	15.54141701507618	13.045179365802724	15.441041574156506	15.903554575443593	13.536295532533254	15.999324262285377	14.384802542840813	15.207199103564557	13.876086663837913	14.69595211922474	15.332547856411228	14.176099294744631	14.36932544447756	13.646126962378911	14.024593404291286	14.988636772810443	15.390551559123802	14.333552524728766	15.699712408575465	15.349047088760189	15.632116519802942	13.998790780419407	15.782115017999217	15.640230763803876	12.982402397145394	15.051582879354395	12.67511884933944	15.633610325567874	15.704901446277875	15.353330138216066	13.772130214442488
hsa-let-7c	12.633752861169073	13.304029234421456	13.351351877453844	14.47934917478486	13.666287358918405	13.918663364616808	14.539612041440575	14.282940099011395	14.611519114183224	10.79956453930842	13.8906960634542	13.598332549300887	14.15638518534688	11.48750248306611	11.091508963216825	14.354770526967814	10.877607872171858	11.712340564338142	11.365009696090016	13.01027851868619	12.137865340079632	8.924028221334824	12.202869326323182	13.747535592462217	12.624955348821585	11.700517124369762	13.387303863024764	13.235815882170442	11.246678045323552	13.902772693003	13.013944931776022	12.884227660150403	9.578901264409195	13.498837856230903	12.99397634241379	13.796050970312761	14.549638234128066	13.816412814598571	13.22126432412781	11.944660660365708	12.727064561566344	10.750091792232634	11.166643243140996	13.978410087757604	11.75180651115093	13.055194555035863	12.892977822463163	13.485378754942356	11.329805437707929	14.34555177283333	13.328444388874969	11.174703064095361	14.078169183128272	11.700831040744866	13.412263769819909	13.615225289621135	12.314225897930928	13.984796720022427	14.081149237062949	11.939679110509237	13.091083986625836	13.467310552722154	10.832469945257449	14.318994078762618	11.535968445987926	14.417927318147733	12.978964152916866	12.63151970965979	11.024752911120602	10.171283360456133	11.571765029584475	14.045236407082164	13.541576098507461	13.574434776384955	15.149807973187182	13.614789601646288	9.63432873013818	13.856517309201958	12.406350311884596	13.215537767213938
hsa-let-7d	11.17412884771801	10.973335926284102	11.857672506408457	11.131400137727315	11.51342041920213	11.10019853457837	11.51537513820733	11.167329149502326	11.447448643724911	10.553793367870044	10.548008807392165	10.790040067558337	10.41973041826613	10.989738622820868	11.023090099881337	10.249975793802937	11.261788419296142	11.489740023148604	11.252911170481795	11.084673280925516	11.376475065292574	10.109489415895714	10.366460720529224	11.060481414139062	11.115136468795791	10.31452612782684	11.25447585154355	11.766944284510712	10.7086398233548	10.419701172938002	11.733393048965182	10.45908737184535	10.769904730742262	10.186545275951644	12.103396507781554	10.4620506935953	10.960272582197085	11.87789099200546	11.473667975777216	11.166302924372284	11.676680329651628	9.691241878252365	11.05443322398961	10.436400856681548	11.793828645929155	11.660163475621692	11.235988068834716	11.353977733486872	10.466830052048453	10.291251161004839	11.764275970549201	10.748533964697508	10.417426543752072	8.8438439223423	11.35246606138906	12.144074469205194	11.230558655149565	11.096102705207969	11.863401867397794	10.576843048588252	10.506773985693785	10.992151566885848	10.741479473412012	11.640971979317605	10.600700653665216	10.75535822150459	10.495129643522453	11.278011791187502	11.15668116371163	10.790469129036788	11.578303129892394	11.419087651681187	12.355859043243173	11.635577744080349	10.339545991893564	11.317512226948557	11.010796701886987	11.851991890644612	10.489801838607683	11.032483076950863
hsa-let-7e	10.717818889877485	11.328118692586315	10.51070500137562	11.831963964762588	11.71912632111889	11.964705141289484	12.14894949890096	12.081482679130692	13.06311131723523	12.89408407697905	12.281791289802644	12.57820360377393	11.497766185614886	12.130799116306957	11.886286879394197	12.227483016827104	12.233065820606326	11.867784254346489	11.71016891432462	12.507877525651644	12.119401887317755	11.402608773383458	12.361417553700532	10.768252486371233	10.293261846182263	11.216363683126753	11.593104429869351	11.353643646359302	11.846828532726454	10.392575848143533	13.02438958564548	11.526578102516757	11.761002526286136	13.279563266146818	11.19698976292778	12.085157222101593	12.1300216242444	10.505481376117325	12.338780361542815	10.232716463503657	11.680135989129177	10.421999965417816	11.525911082633247	11.467128408312282	12.046051671112364	11.19960054443579	9.334031397374403	10.740421572359297	12.914418791220994	11.720517391813914	11.181297672202824	12.787820162872409	12.09948074954668	10.119491661988443	11.313465962441853	11.57994621754063	11.962357728364227	11.54451662907294	11.44470526815267	12.327564998157182	11.049987239538261	11.991944731825244	11.026597466229983	11.53594005361928	11.498771099978768	11.960008089581667	12.703652162361463	11.542360783468485	12.045082096920751	11.811933852251904	12.713028867624795	13.127138602753464	12.260134739590368	11.485352092101786	12.27997822615971	12.709092382512635	11.214314281449436	11.291147939563025	12.771267548727494	11.778406707035824
hsa-let-7f-1	12.991678928483973	12.491894312235813	13.11139250807058	12.905827531403741	13.532863795804962	14.282398349473365	12.689025682658855	13.716495529642826	13.685699575656733	13.736809548502178	14.24222107237691	12.929657558416016	14.113508976094266	13.864003855121307	12.77968503943772	14.513743478832197	13.248726201608	12.355467346805604	14.357481393372971	13.893183681774676	13.233762283680885	12.514037813574014	14.155041119101151	12.7934064907122	14.479271849811585	14.611015561412106	13.30183205718795	13.185971851517614	13.411002821080482	13.089826833906304	13.417566557678796	14.288139710548961	12.854024129303331	13.894296812879052	13.676600683734408	14.664076680774343	13.233973163833458	14.09717400650946	13.435069402432768	13.127884326113108	13.383873450293718	12.157357576147007	13.003534789714772	14.047614719326797	13.463267532173704	12.860194623218222	13.074566192278978	13.677423094617303	14.583160038728648	12.558217212665014	12.70791149677051	13.98038580815287	14.062795477307734	10.94246331588099	12.583968886114075	13.545519726804745	12.898256289414213	13.38031557256451	12.945993081114478	12.426371726416187	14.195465768064084	13.579688952611022	12.695991938513075	13.931990398860659	12.458950517722732	13.386011402830757	13.833761887000671	13.198177052381954	13.371391409393187	13.930907503458593	13.982970636266678	14.852827184402335	12.841994730856081	13.46517674290713	13.095829444721888	14.427832628514007	12.96877443337916	12.011830469397706	13.747577413203025	14.52173018050916
hsa-let-7f-2	13.01804171294591	12.491396402556374	13.163401460019138	12.949262355832674	13.522832941008602	14.306914644916896	12.732043755699145	13.74962734786843	13.724886981235393	13.760713247129429	14.281540939680104	12.964213200420796	14.151916217931346	13.909406873701439	12.836571613023919	14.543480836343871	13.298285159594412	12.363921728485382	14.38887125887738	13.914658610938925	13.279513664641827	12.578828299924346	14.187177477899318	12.855873156664742	14.53519627977849	14.665872702468205	13.330992213839464	13.222131560231634	13.438855289748215	13.161446623445185	13.436725778922007	14.314892431751318	12.876439294292382	13.918053835517744	13.697705767956718	14.704094919483476	13.251234327850307	14.16593220793339	13.492704920658566	13.21050023061533	13.427822851838554	12.19109551840338	13.029281487757192	14.100953399563787	13.52753551771593	12.892935630237794	13.131688487034456	13.712846723469765	14.6226776291258	12.582812101130154	12.757965840005747	14.001876155151423	14.086579816489898	10.982528237633078	12.62409899852096	13.59085204161556	12.938932729438779	13.44409883239271	12.957283864469863	12.449726618159852	14.226718908624557	13.616518836788451	12.740254375037084	13.959619032854112	12.477430869298493	13.4162695102766	13.864820182877745	13.249398290626896	13.394822450097214	13.9783191802028	14.041567657882593	14.885982562932615	12.862285367153042	13.478084271478345	13.102244326716935	14.453992930110218	13.007663416647057	12.038286810152401	13.783336418112812	14.5715663869684
hsa-let-7g	10.298157950886647	10.29217308278799	10.760447694786993	9.600950415566254	10.941587847304914	10.5554799998152	9.832018261791967	10.880617687677741	9.817144868203497	9.959548314232169	10.700113303543834	10.41185094202791	10.663951715920604	9.762458724593102	9.772255979021331	10.818015006175184	9.906050636500128	9.831481341725258	11.061696337589495	11.49379587781206	9.688752987655157	9.50535695994319	10.225956032754516	10.817430787012466	10.68147711237065	10.13597982184161	10.9918920914709	10.947324875929107	9.981296349444461	10.928499820703534	10.614793918215256	10.416377964235338	10.150161994687712	9.666795938867512	11.251819180244123	10.986762031045854	10.189985957535223	10.676559425463918	10.007674160051945	10.11640181864707	10.941214663102011	9.281712549490862	10.432819493303475	11.002298431979685	10.450660341351613	10.592614060097711	10.165729096395507	10.884424079866521	10.154734840365867	9.721050011454786	10.60741906820784	10.190969937454698	9.744414518964145	8.095375569467668	9.947717025391793	10.657217966615697	9.588525246007272	10.33136057413677	10.813623737307891	9.779715187898809	11.21004095897096	10.468043072700949	9.240868484475886	11.240465000562226	9.670152168386508	9.960606426442371	10.246059558144376	9.944198201755544	10.142104168079412	10.401694979347214	9.880210546190119	10.287161917552206	11.56631827031031	10.812006623311161	9.657719748843967	11.040783028789955	9.908666492157112	10.695650299860858	9.423810714125334	10.950428059417765
